Reference;Publication Year;Task;Case study;Case study type;Input for the model;Number of input variables;Input type;Data Pre-processing;Model Approach;Model Type;Models;Online/Off-line;Number of failure modes;Performance indicator;Performance;Complementary notes;Study title;Publication identifier
195;2002;Fault detection;Rotor shafts;Rotary machines;Time series;2;Imbalance source vector , Cracked source shaft vector ;No;Multi model;Data-driven, Physics-based,Physics-based, Knowledge-based;Gauss-Markov processes, Dynamical model for rotating machines , Kalman Filter, Rule-based system;Online;2;N/A;N/A;No info about operational modes, no info about training instances, no info about testing instances , no need for data preprocessing , no info about computational power;Physically Based Diagnosis and Prognosis of Cracked Rotor Shafts;doi.org/10.1117/12.475502
196;2002;Fault identification;Rotor shafts;Rotary machines;Time series;2;Imbalance source vector , Cracked source shaft vector ;No;Multi model;Data-driven, Data-driven, Physics-based, Physics-based;Gauss-Markov processes, Markov chain, Kalman Filter, Dynamical model for rotating machines;Online;2;N/A;N/A;No info about operational modes, no info about training instances, no info about testing instances , no need for data preprocessing , no info about computational power;Physically Based Diagnosis and Prognosis of Cracked Rotor Shafts;doi.org/10.1117/12.475502
197;2002;Remaining useful life estimation;Rotor shafts;Rotary machines;Time series;1;Current crack depth;No;Single model;Physics-based;Forman crack growth law ;Online;2;N/A;N/A;No info about operational modes, no info about training instances, no info about testing instances , no need for data preprocessing , no info about computational power;Physically Based Diagnosis and Prognosis of Cracked Rotor Shafts;doi.org/10.1117/12.475502
198;2020;Fault feature extraction;Rolling bearings;Rotary machines;Signals;1;Vibration;No;Single model;Data-driven;Self-Organizing Maps;Off-line;1;N/A;N/A;3 operational modes, no info about training instances, 17 testing instances ,no need for data preprocessing, no info about computational power ;A Model-Based Method for Remaining Useful Life Prediction of Machinery;doi: 10.1109/TR.2016.2570568
199;2020;Remaining useful life estimation;Rolling bearings;Rotary machines;Time series;1;Weighted minimum quantization error;Yes;Multi model;Physics-based;Paris Law, Particle Filter;Off-line;1;Standard deviation;-354135;3 operational modes, 6 training instances, 11 testing instances , for data presocessing the model uses a parameter initialization ,no info about computational power ;A Model-Based Method for Remaining Useful Life Prediction of Machinery;doi: 10.1109/TR.2016.2570568
200;2019;Fault detection;Pipelines;Pipelines and ducts;Signals;2;Flow rate, Average pressure change ;No;Multi model;Knowledge-based, Data-driven, Data-driven;Belief rule-based model, Bayes model, Monte Carlo method;Online;1;Mean square error, Mean square error Gap;N/A;1 operational mode,7 different sets for training instances, 7 testing instances ,no need for data preprocessing, no info about computational power, the values of MSE and MSE Gap are presented in figures 9,10 and 11 , and table 7;Online updating belief-rule-base using Bayesian estimation;doi.org/10.1016/j.knosys.2019.02.007
201;2017;Fault identification;Railway track circuit;Electrical components;Time series;2;Temporal dependencies , Spatial dependencies ;Yes;Single model;Data-driven;Bayes model;Off-line;2;N/A;N/A;1 operational mode, no info about training instances, 2 testing instances , 3 preprocessing steps, no info about computational power;Bayesian and Dempster–Shafer reasoning for knowledge-based fault diagnosis–A comparative study;doi.org/10.1016/j.engappai.2017.01.011
202;2017;Fault identification;Railway track circuit;Electrical components;Time series;2;Temporal dependencies , Spatial dependencies ;Yes;Single model;Data-driven;Dempster–Shafer theory;Off-line;2;N/A;N/A;1 operational mode, no info about training instances, 2 testing instances , 2 preprocessing steps, no info about computational power;Bayesian and Dempster–Shafer reasoning for knowledge-based fault diagnosis–A comparative study;doi.org/10.1016/j.engappai.2017.01.011
203;2018;Fault identification;Wind turbines;Rotary machines;Signals;3;Spinning speed, Torque, Current;No;Multi model;Data-driven, Physics-based;Principal component analysis, Geolocation principal ;Online;5;N/A;N/A;No info about operational modes, no info about training instances, no info about testing instances , no need for data preprocessing , no info about computational power;Hybrid method for remaining useful life prediction in wind turbine systems;doi.org/10.1016/j.renene.2017.05.020
204;2018;Remaining useful life estimation;Wind turbines;Rotary machines;Time series;2;Distance, Degradation speed;No;Single model;Physics-based;Geolocation principal ;Online;5;Prognostic horizon, Relative accuracy;(65),(0.7);No info about operational modes, no info about training instances, no info about testing instances , no need for data preprocessing , no info about computational power;Hybrid method for remaining useful life prediction in wind turbine systems;doi.org/10.1016/j.renene.2017.05.020
205;2013;Health modelling;Electrolytic capacitors ;Electrical components;Signals;1;Capacitator impedance frecuency response;No;Single model;Physics-based;Capacitance degradation model;Online;1;N/A;N/A;1 operational mode, no info about training instances, 6 testing instances , no need for data preprocessing , no info about computational power;Physics based Degradation Modeling and Prognostics of Electrolytic Capacitors under Electrical Overstress Conditions;doi: 10.2514/6.2013-5137
206;2013;Health modelling;Electrolytic capacitors ;Electrical components;Signals;1;Capacitator impedance frecuency response;No;Single model;Physics-based;Equivalent series resistance (ESR) degradation model;Online;1;N/A;N/A;1 operational mode, no info about training instances, 6 testing instances , no need for data preprocessing , no info about computational power;Physics based Degradation Modeling and Prognostics of Electrolytic Capacitors under Electrical Overstress Conditions;doi: 10.2514/6.2013-5137
207;2013;Remaining useful life estimation;Electrolytic capacitors ;Electrical components;Signals;1;Capacitator impedance frecuency response;No;Multi model;Data-driven, Physics-based, Physics-based;Bayes model, UKF (Unscented Kalman Filter), Capacitance Degradation Dynamic Model;Online;1;Alpha-lambda performance, Relative accuracy;N/A;5 operational modes (aging times = 24, 47, 94, 149, 171 (hrs)), no info about training instances, 30 testing instances ( 6 capacitors, each capacitor was evaluated for the 5 aging times) , no need for data preprocessing , no info about computational power. The Alpha-lambda performace is presented just for one capacitor ,for more info see Fig 9. The relative acurracy values related to the 5 operational modes and the 30 testing instances are presented in Table 1.;Physics based Degradation Modeling and Prognostics of Electrolytic Capacitors under Electrical Overstress Conditions;doi: 10.2514/6.2013-5137
208;2013;Remaining useful life estimation;Electrolytic capacitors ;Electrical components;Signals;1;Capacitator impedance frecuency response;No;Multi model;Data-driven, Physics-based, Physics-based;Bayes model, UKF (Unscented Kalman Filter), ESR (Equivalent series resistance ) Degradation Dynamic Model;Online;1;Alpha-lambda performance, Relative accuracy;N/A;5 operational modes (aging times = 24, 47, 94, 149, 171 (hrs)), no info about training instances, 30 testing instances ( 6 capacitors, each capacitor was evaluated for the 5 aging times) , no need for data preprocessing , no info about computational power. The Alpha-lambda performace is presented just for one capacitor ,for more info see Fig 12. The relative acurracy values related to the 5 operational modes and the 30 testing instances are presented in Table 6.;Physics based Degradation Modeling and Prognostics of Electrolytic Capacitors under Electrical Overstress Conditions;doi: 10.2514/6.2013-5137
209;2018;Fault detection;Simulated jet-engines data;Rotary machines;Time series;3;Spinning speed, Modeled values;No;Single model;Knowledge-based;Voting method;Online;3;N/A;N/A;No info about operational modes, no info about training instances, 3 testing instances , no need for data preprocessing , no info about computational power.From the 3 input variables, 2 are time series and 1 is a signal.;Fault Detection and Isolation of an Aircraft Turbojet Engine Using a Multi-Sensor Network and Multiple Model Approach;doi: 10.12700/APH.15.1.2018.2.10
210;2018;Fault identification;Simulated jet-engines data;Rotary machines;Time series;1;Results of a fault detection method ;No;Single model;Knowledge-based;Expert system;Online;3;N/A;N/A;No info about operational modes, no info about training instances, 3 testing instances , no need for data preprocessing , no info about computational power;Fault Detection and Isolation of an Aircraft Turbojet Engine Using a Multi-Sensor Network and Multiple Model Approach;doi: 10.12700/APH.15.1.2018.2.10
211;2013;Fault detection;Simulated jet-engines data;Rotary machines;Time series;8;Compressor Temperature, Compressor Pressure, Turbine Temperature, Turbine Pressure, Shaft speed, Altitude, Mach Number, Fuel flow;No;Multi model;Physics-based, Physics-based, Data-driven;Hybrid Kalman Filter, OBEM model, Piecewise linear model (PWL);Off-line;5;Visual indicator;N/A;6 operation modes, 5 faulty condition modes and one healthy mode, no info about training instances, 3 testing instances, no info about data-preprocessing, no info about computational power, performance is measured using visual indicators, not measurable;Multiple-Model Based Sensor Fault Diagnosis Using Hybrid Kalman Filter Approach for Nonlinear Gas Turbine Engines;doi: 10.1109/ACC.2013.6580567
212;2013;Fault identification;Simulated jet-engines data;Rotary machines;Time series;8;Compressor Temperature, Compressor Pressure, Turbine Temperature, Turbine Pressure, Shaft speed, Altitude, Mach Number, Fuel flow;No;Multi model;Physics-based, Physics-based, Data-driven;Hybrid Kalman Filter, OBEM model, Piecewise linear model (PWL);Off-line;5;Visual indicator;N/A;6 operation modes, 5 faulty condition modes and one healthy mode, no info about training instances, 3 testing instances, no info about data-preprocessing, no info about computational power, performance is measured using visual indicators, not measurable;Multiple-Model Based Sensor Fault Diagnosis Using Hybrid Kalman Filter Approach for Nonlinear Gas Turbine Engines;doi: 10.1109/ACC.2013.6580567
213;2012;Health assessment;Solder elements;Electrical components;Time series;1;Temperature;No;Multi model;Physics-based;Damage accumulation model, Structural reliability analysis approach, Physics of failure descriptive model ;Off-line;1;N/A;N/A;1 operation mode, no info about training, model needs to estimate some variables with data, no info about computational power;Physics of failure as a basis for solder elements reliability assessment in wind turbines;doi: 10.1016/j.ress.2012.06.020
214;2014;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;2;Voltage, Current;No;Multi model;Data-driven, Physics-based, Physics-based;Markov chain, Support vector regression, Particle Filter;Off-line;1;Mean absolute error (MAE), Mean one standard deviation tolerance interval;(3.3309), (12.5627);1 operation mode, datasets of 5 batteries used to train SVR model, no info about data pre-processing, no info computational power;Review of Hybrid Prognostics Approaches for Remaining Useful Life Prediction of Engineered Systems, and an Application to Battery Life Prediction;doi: 10.1109/TR.2014.2299152
215;2015;Fault detection;Switching power converters;Electrical components;Signals;1;Info vector;Yes;Single model;Physics-based;Switched linear state estimator;Online;10;Reaction time;(<400us);1 operation mode, no info about training, no info about data-preprocessing, extracting data from the component that is under analysis is required, implemented a Typhoon HIL602 and a dSPACE DS1103;Model-Based Fault Detection and Identification for Switching Power Converters;doi: 10.1109/TPEL.2016.2541342
216;2015;Fault identification;Switching power converters;Electrical components;Signals;1;Info vector;Yes;Single model;Physics-based;Switched linear state estimator;Online;10;Reaction time;(<10ms);1 operation mode, no info about training, data pre-processing with L2 linnear, extracting data from the component that is under analysis is required, implemented a Typhoon HIL602 and a dSPACE DS1103;Model-Based Fault Detection and Identification for Switching Power Converters;doi: 10.1109/TPEL.2016.2541342
217;2014;Health modelling;Lithium-ion battery;Energy cells and batteries;Time series;2;Exchange current density, Equilibrium potential;No;Single model;Physics-based;Electrochemical-termal model;Off-line;1;Visual indicator;N/A;2 operation modes, charging and discharging the battery, no info about training, no info about data pre-processing, no info about computational power, performance is measured using visual indicators, not measurable;Development of a physics-based degradation model for lithium ion polymer batteries considering side reactions;doi: 10.1016/j.jpowsour.2014.12.059
218;2016;Fault detection;Polymer Electrolyte Membrane Fuel Cell;Energy cells and batteries;Time series;8;Compressor Flow Rate, Compressor Voltage, Load Torque, Compressor Motor Torque, Molar mass nitrogen, Molar mass oxygen, Lumped volume of cathode, FC stack temperature;No;Single model;Physics-based;ST SMO ;Off-line;1;Visual indicator;N/A;1 operation mode, no info about training, no info about data pre-processing, simulated using MATLAB/simulin, performance is measured using visual indicators, not measurable;Robust Model-Based Fault Diagnosis for PEM Fuel Cell Air-Feed System;doi: 10.1109/TIE.2016.2535118
219;2003;Remaining useful life estimation;Rolling bearings;Rotary machines;Signals;2;In-line oil debris, Vibration Analysis MEMS;No;Multi model;Physics-based, Data-driven, Data-driven, Physics-based;Spall Initiation Model, Spall Progression Model, Spall Initiation Model, Spall Progression Model;Online;1;N/A;N/A;No info about operation modes, no info about trainning, no info about computational power;Prognostics/Diagnostics for Gas Turbine Engine Bearings;doi: 10.1109/AERO.2003.1234152
220;2018;Multiple steps future state forecast;Simulated jet-engines data;Rotary machines;Time series;8;Temperature, Fluid Pressure, Humidity, Power, Fuel flow;No;Multi model;Knowledge-based, Data-driven;Particle Filter, ANFIS (Adaptive Neuro-Fuzzy Inference System);Off-line;4;Fault estimation error;[1st OM: 0,096] : [2nd OM: 0,06] : [3rd OM: 0,056] :[4th OM: 0,052];4 operation mode, 500, 1000, 2000 and 5000 training data, no info about data pre-processing, no info computational power;Hybrid sequential fault estimation for multi-mode diagnosis of gas turbine engines;doi:10.1016/j.ymssp.2018.05.054
221;2008;Health assessment;Production plant machines;Structures;Time series;7;N dimensional feature vector;Yes;Multi model;Data-driven, Knowledge-based;Linear regression , Rule-based system;Off-line;;N/A;N/A;3 operation modes, training data set of 218 units, the testing stage includes three procedures applied to each unit in the testing data set, no info about computational power, this paper classify the units by failure modes;A similarity-based prognostics approach for Remaining Useful Life estimation of engineered systems;doi:10.1109/PHM.2008.4711421
222;2008;Remaining useful life estimation;Production plant machines;Structures;Time series;3;Health index, Model , Number of cycles;Yes;Multi model;Data-driven;Regression models, ARMA (Autorregresive-moving-average), Hidden Markov, Neural Network;Off-line;;Score function;[5636.06];3 operation modes, training data set of 218 units, the testing stage includes three procedures applied to each unit in the testing data set, no info about computational power, this paper classify the units by failure modes;A similarity-based prognostics approach for Remaining Useful Life estimation of engineered systems;doi:10.1109/PHM.2008.4711421
223;2020;Remaining useful life estimation;Aerial Bundled Cables;Electrical components;Time series;1;Real infrared thermography data;Yes;Single model;Physics-based;Kalman Filter;Off-line;1;Percentage error, Root mean square error;[0.27%] , [0.0138];No info about operation modes, 45 days after trainning, database developed on Microsoft acces;Kalman Filter Based Prediction of Remaining Useful Life of Aerial Bundled Cables;doi:10.1109/iCoMET48670.2020.9073861
224;2009;Health modelling;Rolling bearings;Rotary machines;Signals;3;Rotor speed, Vibration, Aircraft Maneuvers;No;Multi model;Physics-based, Knowledge-based;Fuzzy Inference System, SVM Regression;Online;1;Visual indicator;N/A;No info about operation modes, six undamaged 6008 test bearings were run to failure at a constant rotational speed, in order to train the SVM model, the four stage data is divided into two sets: a training set and a testing set, no info about computational power, performance is measured using visual indicators, not measurable;Prognostics model for predicting aero-engine bearing Grade-life;doi:10.1115/GT2009-59641
225;2019;Remaining useful life estimation;Rechargeable batteries with capacity regeneration phenomena;Energy cells and batteries;Time series;1;Battery capacity degradation data;No;Single model;Data-driven;Piecewise model;Off-line;1;Visual indicator;N/A;No info about operation modes, no info about trainning, no info about computational powerperformance is measured using visual indicators, not measurable;Piecewise model based intelligent prognostics for state of health prediction of rechargeable batteries with capacity regeneration phenomena;doi:10.1016/j.measurement.2019.07.064
226;2014;Remaining useful life estimation;Aircraft engines;Structures;Time series;4;Load , Frequency, Data points, Geometric parameter (S);No;Multi model;Physics-based, Data-driven;Paris Law, Gaussian Kernel;Off-line;1;Percentage error, Visual indicator;(-10.0%);7 operation modes, The training data was derived from Paris’ Law coefficients using the average response of a 30 specimen dataset,The mapping was created using the surface fitting toolbox in MATLAB, and then using LASSO, and then using RVM, performance is measured using visual indicators, not measurable;Fatigue Life Prediction Using Hybrid Prognosis for Structural Health Monitoring;doi:10.2514/1.I010094
227;2013;Health assessment;Metallurgical Ladles;Structures;Time series;3;Thermal conductivity, Coefficient of heat transfer, Degree of blackness;Yes;Single model;Data-driven;ESN structure;Off-line;1;N/A;N/A;No info about operational modes, no info about testing instances to validate the approach, no info about computational power.;Predictive maintenance model-based approach for objects exposed to extremely high temperatures;doi:10.1109/SPS.2013.6623621
228;2018;Multiple steps future state forecast;High-voltage asymmetrical pulse (HVAP) track circuit;Electrical components;Time series;2;Peak voltage of receiving end under adjustment state, Peak voltage of receiving end under shunting state;Yes;Multi model;Knowledge-based;Fuzzy neural network, Grey GM model;Off-line;1;Error cost function of optimization;-0.0001;1 operation mode, training for 80 times;Track circuit fault prediction method based on grey theory and expert system;doi:10.1016/j.jvcir.2018.10.024
229;2018;Fault feature extraction;Solenoid valves;Electrical components;Time series;2;Temperature, Electrical resistance;Yes;Single model;Physics-based;Kalman Filter;Off-line;1;Relative error;[1st OM: 8.27%] : [2nd OM: 4.50%] : [3rd OM: 5.16%] :[4th OM: 3.80%];4 operartion modes, no info about trainning, the thermo-structure is built based on ANSYS Workbench;Three-dimensional Simulation and Prediction of Solenoid Valve Failure Mechanism Based on Finite Element Model;doi:10.1088/1755-1315/108/2/022035
230;2018;Fault detection;Solenoid valves;Electrical components;Time series;3;Temperature, Current, Deformation;Yes;Single model;Physics-based;Kalman Filter;Off-line;1;N/A;N/A;4 operartion modes, no info about trainning, the thermo-structure is built based on ANSYS Workbench;Three-dimensional Simulation and Prediction of Solenoid Valve Failure Mechanism Based on Finite Element Model;doi:10.1088/1755-1315/108/2/022035
231;2019;Fault feature extraction;Lithium-ion battery;Energy cells and batteries;Time series;1;Voltage;Yes;Multi model;Data-driven;Mean value, Box-cox transformation;Online;1;Root mean square error, Fitness degree;(0.0135),(0.9949);Data preprocessing : quadratic extrapolation for enough data points;A novel health indicator for on-line lithium-ion batteries remaining useful life prediction;doi.org/10.1016/j.jpowsour.2016.04.119 
232;2019;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;2;Corresponding cycle number, Voltage;No;Single model;Data-driven;Quadratic function;Off-line;1;Root mean square error, Absolute error, Relative error;(0.0277, 0.0514),(41,12),(47.7%,50.0%);This technique is implemented from 2 different starting points (from 80 cycles and 100 cycles.). Performance indicators exist for both in order. ;A novel health indicator for on-line lithium-ion batteries remaining useful life prediction;doi.org/10.1016/j.jpowsour.2016.04.119 
233;2019;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;2;Corresponding cycle number, Voltage;No;Single model;Data-driven;Relevance vector machine;Online;1;Root mean square error, Absolute error, Relative error;(0.0277, 0.0514),(41,12),(47.7%,50.1%);This technique is implemented from 2 different starting points (from 80 cycles and 101 cycles.). Performance indicators exist for both in order.;A novel health indicator for on-line lithium-ion batteries remaining useful life prediction;doi.org/10.1016/j.jpowsour.2016.04.119 
234;2019;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;2;Corresponding cycle number, Voltage;No;Single model;Data-driven;MONESN (Monotonic echo state network);Online;1;Absolute error, Relative error;([1, 20]), ([60%, 94.44%]), ([0.0045, 0.0419]);Echo-state networks are a framework for recurrent neural network;A novel health indicator for on-line lithium-ion batteries remaining useful life prediction;doi.org/10.1016/j.jpowsour.2016.04.119 
235;2018;Fault feature extraction;Sliding chair of railway point machine;Reciprocating machines;Time series;1;Force measurement;No;Multi model;Data-driven;Affinity matrix, Inherent feature evaluation, Hybrid fitness function;Online;1;N/A;;;A new adaptive prognostics approach based on hybrid feature selection with application to point machine monitoring;doi.org/10.36001/phmconf.2018.v10i1.500
236;2018;Health modelling;Sliding chair of railway point machine;Reciprocating machines;Time series;2;Corresponding time, Force measurement;No;Single model;Data-driven;Polynomial function;Online;1;Fitness degree;([0.97,0.98]);;A new adaptive prognostics approach based on hybrid feature selection with application to point machine monitoring;doi.org/10.36001/phmconf.2018.v10i1.500
237;2018;Remaining useful life estimation;Sliding chair of railway point machine;Reciprocating machines;Time series;4;Free text logs;Yes;Single model;Data-driven;Likelihood probability weight calculation;Online;1;Accuracy;([0.84,0.92]);4 inputs are unknown variables in 3nd order polynomial function;A new adaptive prognostics approach based on hybrid feature selection with application to point machine monitoring;doi.org/10.36001/phmconf.2018.v10i1.500
238;2013;Fault identification;Sensors in interior permanent-magnet synchronous motor;Electrical components;Signals;4;Voltage, Current;No;Single model;Physics-based;Kalman Filter;Online;3;N/A;;4 inputs are 2 different votages and 2 different currents;A sensor fault detection and isolation method in interior permanent-magnet synchronous motor drives based on an extended kalman filter;10.1109/TIE.2013.2244537
239;2019;Health assessment;Lithium-ion battery;Energy cells and batteries;Time series;1;Battery capacity;No;Single model;Data-driven;Neural Network;Online;1;Percentage error, Root mean square error;(<0.01),([0.4%,0.8%]);;Aging characteristics-based health diagnosis and remaining useful life prognostics for lithium-ion batteries;?10.1016/j.etran.2019.100004
240;2019;Health modelling;Lithium-ion battery;Energy cells and batteries;Time series;1;Battery capacity;No;Single model;Data-driven;Random forest;Online;1;N/A;;Random forest performs better than Neural Network;Aging characteristics-based health diagnosis and remaining useful life prognostics for lithium-ion batteries;?10.1016/j.etran.2019.100004
241;2019;Health modelling;Lithium-ion battery;Energy cells and batteries;Time series;1;Battery capacity;No;Single model;Data-driven;Neural Network;Online;1;N/A;;Random forest performs better than Neural Network;Aging characteristics-based health diagnosis and remaining useful life prognostics for lithium-ion batteries;?10.1016/j.etran.2019.100004
242;2019;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;1;Battery capacity;No;Single model;Data-driven;Recursive least square;Online;1;Root mean square error;;Performance indicator : refer to the paper for details;Aging characteristics-based health diagnosis and remaining useful life prognostics for lithium-ion batteries;?10.1016/j.etran.2019.100004
243;2018;Fault identification;Gearbox in wind turbine;Power transmission device;Time series;6;Frequency center, Frequency variance, Mean square frequency, Maximum contact stress, Maximum bending stress, Number of gear meshing;No;Single model;Data-driven;Extreme learning machine;Online;1;Accuracy;([117%,130%]);This instance is about the proposed method ;Digital twin driven prognostics and health management for complex equipment;?10.1016/j.cirp.2018.04.055
244;2018;Fault identification;Gearbox in wind turbine;Power transmission device;Time series;3;Frequency center, Frequency variance, Mean square frequency;No;Single model;Data-driven;Extreme learning machine;Online;1;Accuracy;-1;This instance is about the traditional method for comparison with the proposed method;Digital twin driven prognostics and health management for complex equipment;?10.1016/j.cirp.2018.04.055
245;2014;Fault detection;Proton exchange membrane fuel cell;Energy cells and batteries;Signals;2;Current, Voltage;Yes;Single model;Physics-based;Radial basis function network;Online;5;N/A;;;Fault detection and isolation for PEM fuel cell stack with independent RBF model;?10.1016/j.engappai.2013.10.002
246;2014;Fault identification;Proton exchange membrane fuel cell;Energy cells and batteries;Time series;3;Modelling error;No;Single model;Physics-based;Radial basis function network;Online;5;N/A;;3 inputs are filtered modelling error of 3 different components.;Fault detection and isolation for PEM fuel cell stack with independent RBF model;?10.1016/j.engappai.2013.10.002
247;2017;Fault identification;Rectifier in railway electrical traction systems;Electrical components;Unknow format;;Unknown variable;;Multi model;Unknown model type;Nonlinear parametrization adaptive estimation technique, Sliding mode technique;Unknown synchronization;3;N/A;;For non filled instances, refer directly to the paper;Incipient Voltage Sensor Fault Isolation for Rectifier in Railway Electrical Traction Systems;?10.1109/TIE.2017.2696463
248;2019;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;2;Corresponding cycle number, Battery capacity;No;Multi model;Data-driven;Box-cox transformation, Monte Carlo;Online;1;Standard deviation;([5cycles,7cycles]);;Lithium-Ion Battery Remaining Useful Life Prediction with Box-Cox Transformation and Monte Carlo Simulation;?10.1109/TIE.2018.2808918
249;2019;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;2;Corresponding cycle number, Battery capacity;Yes;Multi model;Data-driven;Box-cox transformation, Monte Carlo;Both;1;Mean absolute error, Mean standard deviation;([10.6cycles,53.7cycles]),([3,9cycles,7.2cycles]);Pre-processing : For online process, off-line data is used to initialize the model;Lithium-Ion Battery Remaining Useful Life Prediction with Box-Cox Transformation and Monte Carlo Simulation;?10.1109/TIE.2018.2808918
250;2019;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;2;Corresponding cycle number, Battery capacity;Yes;Multi model;Physics-based, Data-driven;Particle Filter, Monte Carlo;Both;1;Mean absolute error, Mean standard deviation;([22cycles,56.5cycles]),([5.6cycles.30.8cycles]);Pre-processing : For online process, off-line data is used to initialize the model;Lithium-Ion Battery Remaining Useful Life Prediction with Box-Cox Transformation and Monte Carlo Simulation;?10.1109/TIE.2018.2808918
251;2015;Remaining useful life estimation;Lithium-ion battery;Energy cells and batteries;Time series;4;Open circuit voltage, State of charge, Current, Diffusion voltage;No;Multi model;Data-driven, Physics-based;State projection scheme, Particle Filter;Online;2;N/A;;;Method for estimating capacity and predicting remaining useful life of lithium-ion battery;?10.1109/ICPHM.2014.7036362
252;2014;Fault identification;Rolling bearings;Rotary machines;Signals;1;Frequency;Yes;Single model;Data-driven;Trace ratio linear discriminant analysis;Online;5;Accuracy;([92%,100%]);;Motor bearing fault diagnosis using trace ratio linear discriminant analysis;?10.1109/TIE.2013.2273471
253;2013;Fault feature extraction;Rolling bearings;Rotary machines;Time series;11;Peak-to-Peak, Maximum peak value, Root mean square, Kurtosis, Skewness, Mutual information, Entropy, Arithmetic mean of PSD, Line integral, Autoregressive model, Energy;Yes;Multi model;Data-driven;Unsupervised feature selection algorithm, Self-Organizing Maps;Off-line;1;N/A;;Raw signals are calculated in various ways and they are regarded as inputs;Nonparametric time series modelling for industrial prognostics and health management;?10.1007/s00170-013-5065-z
254;2013;Health modelling;Rolling bearings;Rotary machines;Time series;1;Error;No;Single model;Data-driven;Ridge regression;Off-line;1;Accuracy;([0.0751,0.4165]);;Nonparametric time series modelling for industrial prognostics and health management;?10.1007/s00170-013-5065-z
255;2019;Fault identification;Actuator ;Electrical components;Signals;1;Current;No;Multi model;Data-driven;Proper Orthogonal Decomposition, Supervised machine learning;Both;5;N/A;;offline for proper orthogonal decomposition, online for Supervised machine learning;Real-time fault detection and prognostics for aircraft actuation systems;?10.2514/6.2019-2210
256;2019;Remaining useful life estimation;Actuator ;Electrical components;Signals;1;Current;No;Single model;Data-driven;Support vector machines;Online;5;N/A;;;Real-time fault detection and prognostics for aircraft actuation systems;?10.2514/6.2019-2210
257;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Signals;1;Vibration level;Yes;Single model;Data-driven;Maximum likelyhood estimation;Online;1;Averaged root mean square error, Averaged mean absolute error, Averaged cumulative relative accuracy, Alpha-Lambda performance;([61.2017,89.4075]),([48.7117,74.4025]),([0.3818,0.5549]),([4,5]);;Real-Time Remaining Useful Life Prediction for a Nonlinear Degrading System in Service: Application to Bearing Data;?10.1109/TMECH.2017.2666199
258;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Signals;1;Vibration level;Yes;Single model;Data-driven;Bayesian model;Online;1;Averaged root mean square error, Averaged mean absolute error, Averaged cumulative relative accuracy, Alpha-Lambda performance;(135.8375),(111.8284),(-0.8970);;Real-Time Remaining Useful Life Prediction for a Nonlinear Degrading System in Service: Application to Bearing Data;?10.1109/TMECH.2017.2666199
259;2018;Remaining useful life estimation;Rolling bearings;Rotary machines;Signals;1;Vibration level;Yes;Multi model;Data-driven, Physics-based;Maximum likelyhood estimation, Kalman Filter;Both;1;Averaged root mean square error, Averaged mean absolute error, Averaged cumulative relative accuracy, Alpha-Lambda performance;([98.3584,89.4075]),([82.1673,97.7060]),([1,3]);;Real-Time Remaining Useful Life Prediction for a Nonlinear Degrading System in Service: Application to Bearing Data;?10.1109/TMECH.2017.2666199
260;2018;Health modelling;Supercapacitor;Electrical components;Time series;2;Temperature, Voltage;No;Single model;Physics-based;Kalman Filter;Online;2;Relative error;(<3.58%);;Remaining Useful Life Prognosis of Supercapacitors under Temperature and Voltage Aging Conditions;?10.1109/TIE.2017.2767550
261;2018;Health modelling;Supercapacitor;Electrical components;Time series;2;Temperature, Voltage;No;Single model;Physics-based;Kalman Filter;Online;2;Relative error;(<4.96%);;Remaining Useful Life Prognosis of Supercapacitors under Temperature and Voltage Aging Conditions;?10.1109/TIE.2017.2767550
262;2018;Remaining useful life estimation;Supercapacitor;Electrical components;Time series;1;Capacitance, Degradation rate;No;Multi model;Physics-based, Data-driven;Particle Filter, Bayesian model;Online;2;Relative error;([3.33%,8.37%]);;Remaining Useful Life Prognosis of Supercapacitors under Temperature and Voltage Aging Conditions;?10.1109/TIE.2017.2767550
263;2018;Remaining useful life estimation;Supercapacitor;Electrical components;Time series;1;Resistance, Degradation rate;No;Multi model;Physics-based, Data-driven;Particle Filter, Bayesian model;Online;2;Relative error;([0.33%,8.67%]);;Remaining Useful Life Prognosis of Supercapacitors under Temperature and Voltage Aging Conditions;?10.1109/TIE.2017.2767550
